Id,Type,Created_At,Author,Content,User_Mentions,Roles_Mentions,Replied_User,Reference_Message,Reactions
998113380604842054,DEFAULT,1658039173986,Adebola🤴#2399,Gm Gm,,,,,"danielo#2815,👋"
997887172474581123,THREAD_CREATED,1657985241765,katerinabc#6667,Team members availability,,,,,
997626965244784681,DEFAULT,1657923203527,katerinabc#6667,I saw this at a social network conference and liked the way they approach their data collecting (github commits) and analysis. They use these principles to decide what data to collect and what to do with it,,,,,"Ashish G#1920,👍&narcoleptic_chicken#0001,danielo#2815,❤️"
997466791943098458,DEFAULT,1657885015236,sandeepdas#2062,"@Community Analytics - Supporter @Community Analytics - Lead @Community Analytics- Contributor the first series of tweets announcing the progress of this project is now up on Twitter. Please engage, comment and retweet",,"@Community Analytics - Supporter,@Community Analytics - Lead,@Community Analytics- Contributor",,,"WaKa#6616,sepehr#3795,danielo#2815,Elaheh#4125,💜"
997446143057346604,DEFAULT,1657880092158,Ashish G#1920,Starting a thread on pics for the concept paper,,,,,
997076461842333776,THREAD_CREATED,1657791953288,danielo#2815,User research and ideas,,,,,
996847267476672593,DEFAULT,1657737309093,danielo#2815,"**Proposal: include Ene SS Rawa#0855 as Contributor to our Unit**

Ene has already been adding to our conceptual framework and measures. So this feels like just making it official that he's part of the team.

Please react to this proposal:
🤙 I commit: I will actively work on the outcomes of this decision
👍 I consent: I have no objections to this being implemented but I don’t commit to doing it myself
☝️ I have a suggestion: I would like to share my idea to improve the proposal and I will describe the suggestion in the thread
✋ I object: I sense that this proposal is not safe to try and I will describe my objection in the thread
🔸 I am not comfortable voting: I read the proposal but don't feel comfortable voting on it",Ene SS Rawa#0855,,,,"Ashish G#1920,danielo#2815,katerinabc#6667,🤙"
996839993358172381,DEFAULT,1657735574808,Ashish G#1920,Call with Aragon team (13 Jul 2022),,,,,
996830966406455296,DEFAULT,1657733422615,Ashish G#1920,Starting a thread on a point from today's retrospective meeting - Free beta access / test with some DAOs,,,,,
996784440149803095,THREAD_CREATED,1657722329891,Ene SS Rawa#0855,Conceptual framework meeting,,,,,
996739820753780807,DEFAULT,1657711691798,danielo#2815,"@here pleas see the scheduled meetings for the conceptual framework in <#969982517027422228> 
Also, I just spent 2-3 hours on it and evolved the definition of community health.
Would be great if you can check it before the work session",,,,,
996468155574661120,DEFAULT,1657646921772,danielo#2815,"Ashish G#1920 Ene SS Rawa#0855 katerinabc#6667 and co, for our discussion on Conceptual Framework this week
https://lettucemeet.com/l/3op5w","Ashish G#1920,Ene SS Rawa#0855,katerinabc#6667",,,,"Ashish G#1920,katerinabc#6667,Ene SS Rawa#0855,👍"
996461704324071474,DEFAULT,1657645383674,danielo#2815,"FYI, here's where Near Grant is at:",,,,,"WaKa#6616,Ashish G#1920,talktoricardo#7252,RayKanani#0819,Ene SS Rawa#0855,🔥"
996147856073310228,THREAD_CREATED,1657570556420,katerinabc#6667,Retrospective,,,,,
996016197122412565,THREAD_CREATED,1657539166480,danielo#2815,Data extraction test,,,,,
995255424502739005,THREAD_CREATED,1657357784153,katerinabc#6667,network measures,,,,,
