Id,Type,Created_At,Author,Content,User_Mentions,Roles_Mentions,Replied_User,Reference_Message,Reactions
997384223814074443,THREAD_CREATED,1657865329460,Elaheh#4125,RnDAO AdminAssist,,,,,
997116367964737596,DEFAULT,1657801467649,DavidRAllen#0228,"**Proposal: Create an Administrative Assistant / Facilitator Role for Comms/Docs/Scheduling**

We have a need for a coordinator servant to assist the focused members of RnDAO. Internal Communications, Documentation and Scheduling need to keep up with the positive growth and new energy coming to RnDAO.

So this proposal suggests:

- creating an elected **RnDAO AdminAssist/Facilitator role for Comms/Docs/Scheduling** that sits within RnDAO as a liaison between Unit Leaders.

This proposal is instigated after my personal review and informal needs assessment, to achieve the goals set out by the founding team danielo#2815 paulofonseca#1987 Drea#4787 and RayKanani#0819  

Please react to this proposal:
🤙 I commit: I will actively work on the outcomes of this decision
👍 I consent: I have no objections to this being implemented but I don’t commit to doing it myself
☝️ I have a suggestion: I would like to share my idea to improve the proposal and I will describe the suggestion in the thread
✋ I object: I sense that this proposal is not safe to try and I will describe my objection in the thread
🔸 I am not comfortable voting: I read the proposal but don't feel comfortable voting on it","danielo#2815,paulofonseca#1987,Drea#4787,RayKanani#0819",,,,"DavidRAllen#0228,🤙&Fabs#8423,paulofonseca#1987,danielo#2815,Elaheh#4125,RayKanani#0819,👍"
996922577383608320,REPLY,1657755264374,paulofonseca#1987,"I just did it RayKanani#0819! I gave the new category the same permissions as the Discover Category, which are:",RayKanani#0819,,RayKanani#0819,996920426594840597,"Elaheh#4125,RayKanani#0819,katerinabc#6667,✨"
996920426594840597,REPLY,1657754751586,RayKanani#0819,"This proposal has passed with 4 x 🤙 + 1 👍 

danielo#2815 or Elaheh#4125 (I'm assuming you are the Discord admins, I'm also happy to implement with temporary admin permissions granted)

To recap the action
**(new) Structure and access:**
The placement of this top-level channel/folder is as follows
🔽 ✨ Humane Vibez
- <#920707473369878589> 
- Energy 
- vibez-room
🔽Discover
🔽Contribute
🔽Projects
🔽DAO Work
🔽Archived

**Access**
Access to this folder/channel will be granted to those with @New Contributors (pending onboarding)

Let me know if I can help or if any questions come up

Thank you all that participated in the vote DavidRAllen#0228 Drea#4787 paulofonseca#1987 danielo#2815 Technoshaman#5921 Elaheh#4125","danielo#2815,Elaheh#4125,DavidRAllen#0228,Drea#4787,paulofonseca#1987,danielo#2815,Technoshaman#5921,Elaheh#4125",@New Contributors (pending onboarding),RayKanani#0819,995829424035475516,"Elaheh#4125,♥️"
996726785762918475,THREAD_CREATED,1657708584014,Elaheh#4125,official RnDAO Radiator role,,,,,
996684629828435978,DEFAULT,1657698533256,danielo#2815,"**Proposal: create an official RnDAO Spokeperson role**

We have often people inviting RnDAO to give a talk/podcast/etc. Often one of us in particular is invited but if we do our job well, it will increasingly be RnDAO is in general who's invited.

So this proposal suggests:

- creating an elected **RnDAO Spokeperson** role that sits within the DAO Speaks circle, where one or a few ""spoke-persons"" can be quickly coordinated to respond to invitations.

For clarity, this does not exclude others from speaking, it just simplify the process of responding to requests like the one we just had:
https://discord.com/channels/915914985140531240/915917066496774165/996443023569334312

Please react to this proposal:
🤙 I commit: I will actively work on the outcomes of this decision
👍 I consent: I have no objections to this being implemented but I don’t commit to doing it myself
☝️ I have a suggestion: I would like to share my idea to improve the proposal and I will describe the suggestion in the thread
✋ I object: I sense that this proposal is not safe to try and I will describe my objection in the thread
🔸 I am not comfortable voting: I read the proposal but don't feel comfortable voting on it",,,,,"danielo#2815,Elaheh#4125,🤙&Fabs#8423,Drea#4787,RayKanani#0819,katerinabc#6667,👍&paulofonseca#1987,☝️"
996399905113374761,REPLY,1657630649594,9tails.eth | meetwithwallet.xyz#9821,"This proposal has passed with 1  🤙, and 4 👍 - Valid votes only... Can you please implement danielo#2815 ?",danielo#2815,,9tails.eth | meetwithwallet.xyz#9821,994506679670542366,"WaKa#6616,paulofonseca#1987,danielo#2815,✅"
996128880148623432,REPLY,1657566032207,paulofonseca#1987,"there is not… also, copy pasting miro boards is not ideal, because comments don’t get copied. but please tag me, with a comment on the frames you want me to copy on the original board and the destination of those frames",,,danielo#2815,996127518119706634,
996127518119706634,REPLY,1657565707474,danielo#2815,"This Proposal is passed with 3 🤙  and 1 👍 
Already started implementing (see link to the Compensation in DAOs research in the Main board as opposed to putting the info directly there) but will need mostly paulofonseca#1987 to do it unless there's a way to change copy-paste permissions?",paulofonseca#1987,,danielo#2815,994918628258492456,
995846025233301549,THREAD_CREATED,1657498594340,paulofonseca#1987,Humane Vibez,,,,,
995845114809303046,THREAD_CREATED,1657498377278,paulofonseca#1987,Paid Facilitation within RnDAO,,,,,
995843198347915284,REPLY,1657497920358,DavidRAllen#0228,I fully support this proposal.,,,RayKanani#0819,995831129007456416,
995842662018064434,REPLY,1657497792487,DavidRAllen#0228,I would welcome the deeper understanding that may come from this experimental initiative.,,,RayKanani#0819,995829424035475516,
